metric_time,backlog_40_30_5_s3,t1_40_30_5_s3,t2_40_30_5_s3,acceleration_40_30_5_s3,backlog_50_05_1_s3,t1_50_05_1_s3,t2_50_05_1_s3,acceleration_50_05_1_s3,backlog_50_05_5_s3,t1_50_05_5_s3,t2_50_05_5_s3,acceleration_50_05_5_s3,backlog_50_10_1_upload,t1_50_10_1_upload,t2_50_10_1_upload,acceleration_50_10_1_upload,backlog_50_10_5_upload,t1_50_10_5_upload,t2_50_10_5_upload,acceleration_50_10_5_upload,backlog_50_20_1_upload,t1_50_20_1_upload,t2_50_20_1_upload,acceleration_50_20_1_upload,backlog_50_20_5_upload,t1_50_20_5_upload,t2_50_20_5_upload,acceleration_50_20_5_upload,backlog_50_30_0_1,t1_50_30_0_1,t2_50_30_0_1,acceleration_50_30_0_1,backlog_50_30_0_5,t1_50_30_0_5,t2_50_30_0_5,acceleration_50_30_0_5,backlog_50_40_0_1,t1_50_40_0_1,t2_50_40_0_1,acceleration_50_40_0_1,backlog_50_40_0_5,t1_50_40_0_5,t2_50_40_0_5,acceleration_50_40_0_5,backlog_60_10_1_hive,t1_60_10_1_hive,t2_60_10_1_hive,acceleration_60_10_1_hive,backlog_60_10_5_hive,t1_60_10_5_hive,t2_60_10_5_hive,acceleration_60_10_5_hive,backlog_60_20_1_hive,t1_60_20_1_hive,t2_60_20_1_hive,acceleration_60_20_1_hive,backlog_60_20_5_hive,t1_60_20_5_hive,t2_60_20_5_hive,acceleration_60_20_5_hive,backlog_70_10_1_hive,t1_70_10_1_hive,t2_70_10_1_hive,acceleration_70_10_1_hive,backlog_70_10_5_hive,t1_70_10_5_hive,t2_70_10_5_hive,acceleration_70_10_5_hive,backlog_80_10_1_copy,t1_80_10_1_copy,t2_80_10_1_copy,acceleration_80_10_1_copy,backlog_80_10_5_copy,t1_80_10_5_copy,t2_80_10_5_copy,acceleration_80_10_5_copy,backlog_80_20_1_clean,t1_80_20_1_clean,t2_80_20_1_clean,acceleration_80_20_1_clean,clusterimportcpu,clusterimportdisk,clusterimportmemory,outage
7/18/18 2:15,,,,0,,,,0,,,,0,,,,0,,,,0,1,6,,6,,,,0,,,,0,8,,,0,,,,0,,,,0,,,,0,1,,,0,2,12,,12,,,,0,9,54,,54,,,,0,7,42,,42,,,,0,2,12,,12,27,6.361574712,30.23722129,1
7/18/18 2:20,77,462,,462,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,8,,,0,,,,0,,,,0,,,,0,1,,,0,,,,0,,,,0,12,72,,72,,,,0,6,36,,36,,,,0,1,6,,6,42,6.383197069,30.43911548,1
7/18/18 2:25,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,9,6,,6,,,,0,,,,0,,,,0,1,,,0,,,,0,,,,0,1,6,,6,,,,0,2,12,,12,,,,0,1,6,,6,15,6.708770439,30.03978968,1
7/18/18 2:30,20,120,,120,1,6,,6,,,,0,1,6,,6,,,,0,,,,0,,,,0,,,,0,10,12,,12,,,,0,,,,0,,,,0,1,,,0,2,12,,12,,,,0,8,48,,48,,,,0,13,78,,78,,,,0,1,6,,6,24,6.18759143,29.19515845,1
7/18/18 2:35,,,,0,,,,0,,,,0,1,6,,6,,,,0,,,,0,,,,0,,,,0,10,6,6,0,,,,0,,,,0,,,,0,1,,,0,,,,0,,,,0,2,12,,12,,,,0,3,18,,18,,,,0,,,,0,23,6.513834416,29.15599805,1
7/18/18 2:40,,,,0,2,12,,12,,,,0,1,6,,6,,,,0,,,,0,,,,0,,,,0,10,,12,-12,,,,0,,,,0,,,,0,1,,,0,,,,0,,,,0,9,54,,54,,,,0,7,42,,42,,,,0,1,6,,6,33,6.138709486,30.03342172,1
7/18/18 2:45,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,10,,6,-6,,,,0,,,,0,1,6,,6,1,,,0,,,,0,,,,0,8,48,,48,,,,0,1,6,,6,,,,0,,,,0,18,6.352815204,29.31361742,1
7/18/18 2:50,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,10,,,0,,,,0,,,,0,,,,0,1,,,0,,,,0,,,,0,2,12,,12,,,,0,1,6,,6,,,,0,1,6,,6,13,6.125823277,28.12461532,1
7/18/18 2:55,,,,0,1,6,,6,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,10,,,0,,,,0,,,,0,,,,0,1,,,0,,,,0,,,,0,1,6,,6,,,,0,2,12,,12,,,,0,,,,0,0,6.126461748,27.76605445,1
7/18/18 3:00,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,10,,,0,,,,0,,,,0,,,,0,1,,,0,,,,0,,,,0,2,12,,12,,,,0,1,6,,6,,,,0,,,,0,12,6.359690444,27.90700181,1
7/18/18 3:05,50,300,,300,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,10,,,0,,,,0,,,,0,1,6,,6,1,,,0,2,12,,12,,,,0,9,54,,54,,,,0,5,30,,30,,,,0,,,,0,13,6.133142332,27.94037089,0
7/18/18 3:10,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,10,,,0,,,,0,,,,0,,,,0,1,,,0,,,,0,,,,0,1,6,,6,,,,0,,,,0,,,,0,,,,0,21,6.487828411,28.66651808,0
7/18/18 3:15,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,10,,,0,,,,0,,,,0,,,,0,1,,,0,,,,0,,,,0,2,12,,12,,,,0,3,18,,18,,,,0,,,,0,17,6.138654982,27.93738748,0
7/18/18 3:20,33,198,,198,1,6,,6,,,,0,1,6,,6,,,,0,1,6,,6,,,,0,,,,0,10,,,0,,,,0,,,,0,1,6,,6,1,,,0,1,6,,6,,,,0,7,42,,42,,,,0,7,42,,42,,,,0,1,6,,6,24,6.124888929,28.75516801,0
7/18/18 3:25,,,,0,,,,0,,,,0,,,,0,,,,0,1,6,,6,,,,0,,,,0,10,,,0,,,,0,,,,0,,,,0,1,,,0,,,,0,,,,0,2,12,,12,,,,0,6,36,,36,,,,0,,,,0,23,6.140726119,30.46809718,0
7/18/18 3:30,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,10,,,0,,,,0,,,,0,,,,0,1,,,0,2,12,,12,,,,0,2,12,,12,,,,0,5,30,,30,,,,0,,,,0,17,7.96683814,30.13911971,0
7/18/18 3:35,32,192,,192,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,11,6,,6,,,,0,,,,0,2,12,,12,1,,,0,,,,0,,,,0,10,60,,60,,,,0,6,36,,36,,,,0,,,,0,21,6.133329201,29.6110309,0
7/18/18 3:40,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,11,6,,6,,,,0,,,,0,2,12,,12,1,,,0,,,,0,,,,0,4,24,,24,,,,0,4,24,,24,,,,0,2,12,,12,19,6.4604131,29.39045905,0
7/18/18 3:45,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,11,,6,-6,,,,0,,,,0,,,,0,1,,,0,,,,0,,,,0,1,6,,6,,,,0,2,12,,12,,,,0,1,6,,6,7,6.137775138,28.41729045,0
7/18/18 3:50,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,11,,6,-6,,,,0,,,,0,,,,0,1,,,0,,,,0,,,,0,3,18,,18,,,,0,2,12,,12,,,,0,2,12,,12,5,6.139908565,27.73047915,0
7/18/18 3:55,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,11,,,0,,,,0,,,,0,,,,0,1,,,0,,,,0,,,,0,1,6,,6,,,,0,3,18,,18,,,,0,,,,0,1,6.140321235,27.45091599,0
7/18/18 4:00,,,,0,,,,0,,,,0,,,,0,,,,0,1,6,,6,,,,0,,,,0,11,,,0,,,,0,,,,0,,,,0,1,,,0,,,,0,,,,0,4,24,,24,,,,0,2,12,,12,,,,0,,,,0,7,6.583381011,27.57995479,0
7/18/18 4:05,3,18,,18,,,,0,,,,0,,,,0,,,,0,2,12,,12,,,,0,,,,0,11,,,0,,,,0,,,,0,,,,0,1,,,0,1,6,,6,,,,0,9,54,,54,,,,0,5,30,,30,,,,0,,,,0,21,8.377997737,29.16146346,0
7/18/18 4:10,123,738,,738,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,11,,,0,,,,0,,,,0,,,,0,1,,,0,,,,0,,,,0,12,72,,72,,,,0,1,6,,6,,,,0,2,12,,12,5,6.279943889,29.07925669,0
7/18/18 4:15,163,978,,978,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,11,,,0,,,,0,,,,0,1,6,,6,1,,,0,1,6,,6,,,,0,10,60,,60,,,,0,3,18,,18,,,,0,,,,0,16,6.129763109,28.69918518,0
7/18/18 4:20,264,1584,,1584,1,6,,6,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,11,,,0,,,,0,,,,0,,,,0,1,,,0,,,,0,,,,0,11,66,,66,,,,0,2,12,,12,,,,0,,,,0,4,6.194381021,28.41207574,0
7/18/18 4:25,204,1224,,1224,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,11,,,0,,,,0,,,,0,,,,0,1,,,0,2,12,,12,,,,0,10,60,,60,,,,0,5,30,,30,,,,0,1,6,,6,13,6.135859726,28.8623201,0
7/18/18 4:30,194,1164,,1164,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,11,,,0,,,,0,,,,0,,,,0,1,,,0,,,,0,,,,0,12,72,,72,,,,0,5,30,,30,,,,0,,,,0,4,6.142018633,28.36755022,0
7/18/18 4:35,230,1380,,1380,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,11,,,0,,,,0,,,,0,,,,0,1,,,0,1,6,,6,,,,0,11,66,,66,,,,0,3,18,,18,,,,0,1,6,,6,14,6.28780798,28.3239523,0
7/18/18 4:40,187,1122,,1122,,,,0,,,,0,2,12,,12,,,,0,,,,0,,,,0,,,,0,11,,,0,,,,0,,,,0,,,,0,1,,,0,,,,0,,,,0,10,60,,60,,,,0,6,36,,36,,,,0,,,,0,22,6.143396795,29.77912981,0
7/18/18 4:45,69,414,,414,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,11,,,0,,,,0,,,,0,,,,0,1,,,0,3,18,,18,,,,0,9,54,,54,,,,0,5,30,,30,,,,0,,,,0,5,6.347216906,29.77040521,0
7/18/18 4:50,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,11,,,0,,,,0,,,,0,,,,0,1,,,0,1,6,,6,,,,0,2,12,,12,,,,0,2,12,,12,,,,0,,,,0,2,6.128828761,28.84183735,0
7/18/18 4:55,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,11,,,0,,,,0,,,,0,,,,0,1,,,0,,,,0,,,,0,1,6,,6,,,,0,4,24,,24,,,,0,,,,0,13,6.131787528,28.09277556,0
7/18/18 5:00,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,11,,,0,,,,0,,,,0,1,6,,6,1,,,0,1,6,,6,,,,0,4,24,,24,,,,0,1,6,,6,,,,0,,,,0,16,6.161733364,27.82629929,0
7/18/18 5:05,88,528,,528,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,11,,,0,,,,0,,,,0,1,6,,6,1,,,0,1,6,,6,,,,0,10,60,,60,,,,0,2,12,,12,,,,0,2,12,,12,16,6.175234685,29.46243698,0
7/18/18 5:10,115,690,,690,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,11,,,0,,,,0,,,,0,1,6,,6,1,,,0,,,,0,,,,0,11,66,,66,,,,0,3,18,,18,,,,0,1,6,,6,28,6.823391513,30.19959019,0
7/18/18 5:15,138,828,,828,,,,0,,,,0,,,,0,,,,0,1,6,,6,,,,0,,,,0,11,,,0,,,,0,,,,0,,,,0,1,,,0,,,,0,,,,0,11,66,,66,,,,0,7,42,,42,,,,0,,,,0,46,9.934908685,30.09812915,0
