metric_time,backlog_00_10_3_reload,t1_00_10_3_reload,t2_00_10_3_reload,s3uploadcpu,s3uploaddisk,s3uploadmemory,outage
7/15/18 16:20,7539,,,1,18.09301553,17.52604077,0
7/15/18 16:25,7431,,,0,18.0933192,17.52451702,0
7/15/18 16:30,7324,,,1,18.09404332,17.52314566,0
7/15/18 16:35,7217,,,0,18.09433919,17.52573602,0
7/15/18 16:40,7109,,,0,18.09462728,17.52558364,0
7/15/18 16:45,7001,,,0,18.09490759,17.52665026,0
7/15/18 16:50,6893,,,0,18.09518789,17.52680264,0
7/15/18 16:55,6785,,,0,18.09548377,17.52461861,0
7/15/18 17:00,6679,,,0,18.09602102,17.52624393,0
7/15/18 17:05,6570,,,0,18.09630911,17.52781847,0
7/15/18 17:10,6464,,,1,18.0965972,17.52832638,0
7/15/18 17:15,6354,,,0,18.09688529,17.53152624,0
7/15/18 17:20,6247,,,1,18.09718117,17.52918984,0
7/15/18 17:25,6139,,,0,18.09747704,17.52852955,0
7/15/18 17:30,6032,,,1,18.09798315,17.52868192,0
7/15/18 17:35,5924,,,0,18.09827124,17.52639631,0
7/15/18 17:40,5816,,,1,18.09855154,17.52492336,0
7/15/18 17:45,5708,,,0,18.09883963,17.52665026,0
7/15/18 17:50,5600,,,1,18.09912772,17.52751372,0
7/15/18 17:55,5492,,,0,18.09943139,17.5287835,0
7/15/18 18:00,5384,,,0,18.09996085,17.53045962,0
7/15/18 18:05,5279,,,0,18.10024116,17.52985012,0
7/15/18 18:10,5173,,,1,18.10052925,17.52949458,0
7/15/18 18:15,5064,,,0,18.10080176,17.53274524,0
7/15/18 18:20,4957,,,0,18.10109764,17.53396423,0
7/15/18 18:25,4849,,,0,18.10138573,17.53442135,0
7/15/18 18:30,4741,,,0,18.10192298,17.52974854,0
7/15/18 18:35,4634,,,0,18.10220328,17.53467531,0
7/15/18 18:40,4527,,,1,18.10249916,17.55590613,0
7/15/18 18:45,4418,,,0,18.10280282,17.55600771,0
7/15/18 18:50,4310,,,0,18.10308313,17.55539821,0
7/15/18 18:55,4203,,,0,18.10337122,17.56291535,0
7/15/18 19:00,4096,,,0,18.10390068,17.56611521,0
7/15/18 19:05,3990,,,0,18.1041732,17.56423592,0
7/15/18 19:10,3883,,,1,18.10446908,17.56596283,0
7/15/18 19:15,3776,,,0,18.10475717,17.56403276,0
7/15/18 19:20,3668,,,0,18.10504526,17.56418513,0
7/15/18 19:25,3561,,,0,18.10532556,17.56306772,0
7/15/18 19:30,3454,,,1,18.10585503,17.56433751,0
7/15/18 19:35,3347,,,0,18.10614312,17.56291535,0
7/15/18 19:40,3240,,,0,18.10643121,17.5649978,0
7/15/18 19:45,3134,,,0,18.1067193,17.56581046,0
7/15/18 19:50,3026,,,0,18.10700739,17.56469305,0
7/15/18 19:55,2916,,,0,18.10731105,17.56474384,0
